消息ID,时间戳,内容,附件数量,附件路径,Stickers,回复消息ID,嵌入内容数量
1420081000196866199,2025-09-23 16:14:54,"Been to a lot of UFC Strike experiences and they were all top notch! (Technically most recent ones were UFC Strike/Fight.iD experiences, although Fight.iD is just now expanding on its earlier initiatives) 
I’m excited to see what type of things they are cooking up; it’s awesome to see all the fighter partnerships they are building! 🤩",2,media/1420081000196866199_1420080998296846528.jpg|media/1420081000196866199_1420080999466799257.jpg,,,0
1420081000196866199,2025-09-23 16:14:54,"Been to a lot of UFC Strike experiences and they were all top notch! (Technically most recent ones were UFC Strike/Fight.iD experiences, although Fight.iD is just now expanding on its earlier initiatives) 
I’m excited to see what type of things they are cooking up; it’s awesome to see all the fighter partnerships they are building! 🤩",2,media/1420081000196866199_1420080998296846528.jpg|media/1420081000196866199_1420080999466799257.jpg,,,0
1419977733622202388,2025-09-23 09:24:33,thanks,0,,,,0
1419985827252928532,2025-09-23 09:56:43,hey how does that force strike thing work?,0,,,1419971043476635679,0
1419986474962653194,2025-09-23 09:59:17,<@296387788515966978>  can you explain more on this,0,,,1419985827252928532,0
1419986766945062995,2025-09-23 10:00:27,GM fam welcome to the community,0,,,1419969366816198729,0
1419988547443625984,2025-09-23 10:07:31,Was it on the fight id website you saw it?,0,,,1419985827252928532,0
1419989409545322546,2025-09-23 10:10:57,yes,0,,,,0
1419989546912845834,2025-09-23 10:11:30,actually its ufc strike boost,0,,,1419988547443625984,0
1419989613522456638,2025-09-23 10:11:45,how to get those moments,0,,,,0
1419990044176941098,2025-09-23 10:13:28,<@725757119919423539>  Closest reply I could find. But <@296387788515966978> can share more light on this when he's on the chatt,0,,,1419794389668200588,0
1419992899449520219,2025-09-23 10:24:49,okay i am waiting,0,,,1419990044176941098,0
1419993988454154302,2025-09-23 10:29:09,Yes sir,0,,,1419992899449520219,0
1420028971659169843,2025-09-23 12:48:09,GM Chat. Hope everyone has a wonderful day.,0,,,,0
1420031766311206973,2025-09-23 12:59:16,Yes sir,0,,,1420028971659169843,0
1420031776121688154,2025-09-23 12:59:18,And you,0,,,,0
1420031806169812992,2025-09-23 12:59:25,Hope you have a great day too,0,,,,0
1420042210807906335,2025-09-23 13:40:46,https://tenor.com/view/smith-vs-kazama-elijah-smith-vs-kazama-knockout-slam-slam-ko-gif-5014562273829491630,0,,,,1
1420042242437152800,2025-09-23 13:40:53,GM. #Neverforget,0,,,,0
1420043145319546951,2025-09-23 13:44:28,oh my goodneesss. WAs he okay,0,,,1420042210807906335,0
1420043380380926072,2025-09-23 13:45:25,I think he died for like 3 minutes but I just made that up so I think he’s good,0,,,,0
1420043476787007609,2025-09-23 13:45:47,He was out for a long time,0,,,,0
1420043633347788820,2025-09-23 13:46:25,"gosh😭. I would have been out for eternity , 🤣",0,,,1420043476787007609,0
1420043845260808345,2025-09-23 13:47:15,Yeah that’s just the slam. He was getting beat up bad before that 😂,0,,,,0
1420043990077804639,2025-09-23 13:47:50,Have you been slammed before 🤣,0,,,1420043845260808345,0
1420044030942646273,2025-09-23 13:48:00,Hell no,0,,,,0
1420044050676846694,2025-09-23 13:48:04,I do the slamming,0,,,,0
1420044281720213564,2025-09-23 13:48:59,Haha 😂 . Who you plan on slamming,0,,,1420044050676846694,0
1420044303568207932,2025-09-23 13:49:05,You put me out for good,0,,,,0
1420044399471235103,2025-09-23 13:49:27,https://tenor.com/view/rampage-jackson-ricardo-arona-slam-mma-pride-gif-25859017,0,,,,1
1420044516261363783,2025-09-23 13:49:55,https://tenor.com/view/desmaio-desmaiando-desmaiar-desmaiei-faint-gif-17724542,0,,,1420044399471235103,1
1420059846727962695,2025-09-23 14:50:50,"UFC Strike Moments are digital collectibles that launched January 2022; they are highlights of some of the most Iconic Moments in the Octagon

Unfortunately it’s in the state of a rebuild (UFC Strike just migrated from the Flow Blockchain to the Aptos Blockchain) so it will be a little while until it’s properly back in action",0,,,1419990044176941098,0
1420061357188841637,2025-09-23 14:56:51,"The UFC Strike Website and Marketplace are still being rebuilt; There should be news on that soon though. There’s a new Series launching for UFC Strike when it’s officially rebooted, Series 3; Series 0, 1 and 2 are retired (although there are remaining Series 2 Moments for rewards during Series 3)

Generally the best way to get started will be Pack Drops; although no specific details of Series 3 have been revealed yet",0,,,,0
