消息ID,时间戳,内容,附件数量,附件路径,Stickers,回复消息ID,嵌入内容数量
1423390716511518770,2025-10-02 19:26:32,Same here . Im stuck on 40...Im sure this can easily be resolved.  🙏,0,,,1423354003487723601,0
1423413434711539783,2025-10-02 20:56:48,"After investigating, we’ve found that some users Punch Game metrics are unlikely to be achieved without cheating. The system will not reward FP for suspected fraudulent attempts. 

If anyone is having issues and believe it’s unrelated to the info above, please submit a support ticket with your email and Fight.ID and we’ll look it.",0,,,1423355185811685439,0
1423472189851697253,2025-10-03 00:50:16,Good to see and hear a FightFI ad and live promo on UFC BJJ,0,,,,0
1423495116806426798,2025-10-03 02:21:23,👀,0,,,,0
1423584662340505650,2025-10-03 08:17:12,How can so many people already have 2680-2780FP in S2 on the leaderboard? I'm guessing it's not from buying moments and completing tasks. Also where can you see the S1 leaderboard?,0,,,,0
1423639284828868651,2025-10-03 11:54:15,GM everybody,0,,,,0
1423643405765967925,2025-10-03 12:10:37,Get on those referrals bonuses,0,,,1423584662340505650,0
1423645351423770675,2025-10-03 12:18:21,"Damn, that's a lot of referrals",0,,,1423643405765967925,0
1423646172278423623,2025-10-03 12:21:37,Thats people cheating the referral system. This was done right when fightfi opened too. They did clean it up a bit but that's the downside of offering referrals. Just need to go generate a bunch of email addresses and wallet and you can climb the ladder.,0,,,1423645351423770675,0
1423646758763757599,2025-10-03 12:23:57,"S1 ended, s2 ongoing ? It that true right ?",0,,,,0
1423647563856351342,2025-10-03 12:27:09,FP,0,,,,0
1423648807484264499,2025-10-03 12:32:05,unlucky. I still have just 600FP,0,,,1423584662340505650,0
1423659291302297680,2025-10-03 13:13:45,Kinda like multi-accounting in early Strike days,0,,,1423646172278423623,0
1423660211566149806,2025-10-03 13:17:24,Hmm I guess so. But I think that was all dapper products. Here's it's just collecting points and hopefully we get some good options for spending those points.,0,,,1423659291302297680,0
1423660713791983717,2025-10-03 13:19:24,"At least rewards were known back then, now it's all hypothetical😂",0,,,1423660211566149806,0
1423661298918625341,2025-10-03 13:21:44,Are we sure these point are being accumulated for spending purposes or just a social status on a leaderboard,0,,,1423660211566149806,0
1423662026894610432,2025-10-03 13:24:37,"https://discord.com/channels/1329891599177486399/1329902713516986499/1422736087205416982
""What does this mean?
▫️ All FP you earned during your Fight.ID Journey thus far will equate to airdrop rewards for Season 1 participation at a later date""",0,,,1423661298918625341,0
1423663376499867798,2025-10-03 13:29:59,"Okay I thought they were building a marketplace where we could cash in our point for either packs, merch or even a ticket to an event but getting random airdrops could be good",0,,,1423662026894610432,0
1423667362187710485,2025-10-03 13:45:49,Random airdrops of s2 points?,0,,,,0
1423675582402662513,2025-10-03 14:18:29,Hellow fam,0,,,,0
